sqft,bedrooms,bathrooms,age,lot_size,garage,price,property_type,location_score
2397.371322408986,3,2.0205405890495416,3.1276384078298585,4841.3098996001345,0,659395.2795836811,House,1.5
1889.3885590630523,2,1.4719321875358893,32.520422877097495,2064.6503539746473,2,413882.17789154063,House,1.2
2518.150830480554,1,3.00200188906656,7.350169117581277,3236.6279442342875,1,689816.4791221587,House,1.5
3218.4238851264204,1,1.0,29.53295555189191,2711.7969870076,2,552672.7781216081,House,1.0
1812.6773002213313,3,2.2321605674316887,20.85785892242262,4208.245901399864,2,375473.78791333863,Townhouse,1.2
1812.6904344406555,1,1.0,6.13513095900045,8993.949762734923,1,218836.6583466265,Townhouse,0.8
3263.370252405913,3,1.1635975766417366,4.774517251092341,4248.130526389658,2,651020.9647531669,Condo,1.5
2613.9477833223273,4,1.6228660615525756,2.8061700691767166,2132.20358891922,1,357976.9370058105,House,1.0
1624.4204912520383,2,3.5967242076292845,5.540019357420395,2866.3371404338363,0,430018.398249037,Condo,1.5
2434.0480348687715,4,3.188108024404269,3.435444482593017,6008.702575185579,2,377568.2892121761,House,0.8
1629.2658457500302,4,1.9460653161577577,19.19708209977363,1473.8916134814694,2,382165.42618384986,Townhouse,1.2
1627.4161971437945,2,3.2293697951297506,18.265062949033158,2191.784140688535,0,226221.51878053742,House,0.8
2193.5698172528273,4,3.3876229633803967,17.646099914593577,4251.307943580261,2,442014.6114964789,House,1.2
500.0,4,2.3393351516252783,20.538290889587934,5693.984960826138,0,132717.09317675882,House,1.0
620.0657339895738,3,1.1156218557863098,33.724709006925345,4041.955753168417,2,153540.3439475085,House,1.5
1550.1699766072218,2,2.2920876899338856,48.964408657433594,2200.967999596243,2,252261.8713037751,House,1.2
1189.735103732461,3,2.402107594827864,5.2370518933020875,3898.1901124179094,0,293218.21841957973,Condo,1.2
2251.397866076219,5,1.267545609169774,17.723694508344625,3667.063129037357,2,278757.1634424426,House,0.8
1273.5807395830311,4,2.867046792929968,1.6314957411846418,3552.514293655334,1,195367.70449353085,House,0.8
870.1570389317669,2,2.7798118543023556,2.5599049275727253,2839.7268913651515,1,244795.5795207543,House,1.5
3172.5190151372435,4,2.945042699894187,21.245953167957957,3061.000658566267,1,538266.8432717053,House,1.0
1819.3789596107715,3,2.7789230971674437,13.333242986843794,1893.6284260481702,2,517115.63665864844,House,1.5
2054.022563750339,3,3.229843035114983,28.40381509764786,10302.09047640617,0,302406.45614445966,House,0.8
860.2014510292345,4,2.3206719721269686,11.091283213011147,3224.3921161231865,0,172336.07773890058,House,1.0
1564.4938203798538,3,2.701785107370953,2.7301083693516937,3921.6044225930023,2,444513.9118286424,Condo,1.5
2088.738071767893,4,2.1022597157544682,41.12288546984756,2673.234367278193,3,562548.2997566657,Townhouse,1.5
1079.2051380621579,4,1.9155007843780498,1.7305238101305351,4548.965687567021,2,177704.84564250006,House,0.8
2300.5584146765377,4,3.8382496307620757,4.1888725690017035,1557.4163311004597,2,385942.83163394727,House,1.0
1519.489048064956,2,1.0,6.48628120097523,1245.3815555191904,3,374703.68349130475,Condo,1.5
1766.6450001653786,4,3.376759989154264,100.0,2935.8850770903705,1,182494.9183044499,House,0.8
